"UID","env","scenario","trial","x","y","z","chosen"
"1",12,1,1,9,5,-0.12,65
"1",12,1,2,3,2,0.08,26
"1",12,1,3,2,7,0.3,80
"1",12,1,4,2,8,0.31,91
"1",12,1,5,2,9,0.12,102
"1",12,1,6,3,8,0.43,92
"1",12,1,7,3,7,0.51,81
"1",12,1,8,4,7,0.48,82
"1",12,1,9,3,6,0.44,70
"1",12,1,10,4,8,0.33,93
"1",12,1,11,5,7,0.25,83
"1",12,1,12,4,6,0.47,71
"1",12,1,13,2,6,0.25,69
"1",12,1,14,3,5,0.34,59
"2",12,2,1,6,4,0.21,51
"2",12,2,2,3,4,0.27,48
"2",12,2,3,3,3,0.17,37
"2",12,2,4,3,5,0.36,59
"2",12,2,5,3,6,0.46,70
"2",12,2,6,3,7,0.5,81
"2",12,2,7,3,8,0.41,92
"2",12,2,8,3,7,0.51,81
"2",12,2,9,3,7,0.49,81
"2",12,2,10,3,7,0.49,81
"2",12,2,11,3,7,0.5,81
"2",12,2,12,3,7,0.5,81
"2",12,2,13,3,7,0.52,81
"2",12,2,14,2,6,0.27,69
"4",8,2,1,5,4,-0.15,50
"4",8,2,2,3,6,-0.16,70
"4",8,2,3,1,8,0,90
"4",8,2,4,6,1,0.11,18
"4",8,2,5,8,3,0.17,42
"4",8,2,6,9,6,0.28,76
"4",8,2,7,10,8,0.25,99
"4",8,2,8,9,7,0.18,87
"4",8,2,9,8,5,0.25,64
"4",8,2,10,8,6,0.21,75
"4",8,2,11,10,6,0.28,77
"4",8,2,12,6,9,-0.49,106
"4",8,2,13,1,2,0.23,24
"4",8,2,14,8,8,-0.18,97
"7",16,1,1,4,5,0.03,60
"7",16,1,2,4,8,-0.42,93
"7",16,1,3,3,2,0.17,26
"7",16,1,4,1,4,0.26,46
"7",16,1,5,1,4,0.26,46
"7",16,1,6,0,5,-0.07,56
"7",16,1,7,2,3,0.39,36
"7",16,1,8,2,3,0.38,36
"7",16,1,9,2,4,0.36,47
"7",16,1,10,2,2,0.36,25
"7",16,1,11,1,3,0.32,35
"7",16,1,12,1,2,0.36,24
"7",16,1,13,2,3,0.4,36
"7",16,1,14,2,1,0.25,14
"9",17,1,1,7,6,-0.08,74
"9",17,1,2,2,2,-0.4,25
"9",17,1,3,1,9,0,101
"9",17,1,4,9,1,0.02,21
"9",17,1,5,6,0,-0.23,7
"9",17,1,6,4,4,-0.37,49
"9",17,1,7,0,6,0.04,67
"9",17,1,8,0,5,0.01,56
"9",17,1,9,5,8,-0.14,94
"9",17,1,10,8,9,-0.23,108
"9",17,1,11,10,10,-0.03,121
"9",17,1,12,10,5,0.03,66
"9",17,1,13,10,4,-0.05,55
"9",17,1,14,10,2,-0.11,33
"10",10,2,1,9,1,-0.42,21
"10",10,2,2,1,9,0.22,101
"10",10,2,3,2,9,0.21,102
"10",10,2,4,2,8,0.02,91
"10",10,2,5,1,8,0.1,90
"10",10,2,6,0,9,0.22,100
"10",10,2,7,0,10,0.32,111
"10",10,2,8,1,10,0.32,112
"10",10,2,9,2,10,0.34,113
"10",10,2,10,3,10,0.33,114
"10",10,2,11,3,9,0.23,103
"10",10,2,12,4,10,0.32,115
"10",10,2,13,4,10,0.34,115
"10",10,2,14,5,10,0.21,116
"13",5,1,1,8,8,-0.21,97
"13",5,1,2,2,1,0.07,14
"13",5,1,3,0,10,0.12,111
"13",5,1,4,1,6,0.02,68
"13",5,1,5,8,0,0.32,9
"13",5,1,6,9,0,0.16,10
"13",5,1,7,7,0,0.46,8
"13",5,1,8,6,0,0.5,7
"13",5,1,9,5,0,0.42,6
"13",5,1,10,4,0,0.31,5
"13",5,1,11,6,1,0.49,18
"13",5,1,12,6,2,0.4,29
"13",5,1,13,6,3,0.27,40
"13",5,1,14,2,2,0.2,25
