"UID","scenario","env","x","y","est","conf"
1,"Baseline Condition",12,3,4,58,4
1,"Baseline Condition",12,4,1,40,4
1,"Baseline Condition",12,10,9,28,1
1,"Baseline Condition",12,7,6,48,2
1,"Baseline Condition",12,3,5,68,6
1,"Baseline Condition",12,8,10,37,1
1,"Baseline Condition",12,5,0,38,1
1,"Baseline Condition",12,8,6,37,3
1,"Baseline Condition",12,1,7,55,5
1,"Baseline Condition",12,6,4,35,3
2,"Memory Condition",12,0,10,25,2
2,"Memory Condition",12,9,6,35,2
2,"Memory Condition",12,1,6,50,4
2,"Memory Condition",12,6,1,28,2
2,"Memory Condition",12,2,6,65,7
2,"Memory Condition",12,9,9,40,2
2,"Memory Condition",12,0,6,30,4
2,"Memory Condition",12,10,7,22,2
2,"Memory Condition",12,10,6,14,2
2,"Memory Condition",12,8,0,50,2
4,"Memory Condition",8,4,1,24,6
4,"Memory Condition",8,8,8,65,8
4,"Memory Condition",8,0,5,33,4
4,"Memory Condition",8,5,9,21,7
4,"Memory Condition",8,1,3,23,6
4,"Memory Condition",8,6,8,19,6
4,"Memory Condition",8,10,1,56,4
4,"Memory Condition",8,9,4,58,7
4,"Memory Condition",8,6,7,20,6
4,"Memory Condition",8,3,9,5,6
7,"Baseline Condition",16,8,10,32,3
7,"Baseline Condition",16,0,3,66,6
7,"Baseline Condition",16,9,4,42,4
7,"Baseline Condition",16,5,5,47,6
7,"Baseline Condition",16,1,6,44,6
7,"Baseline Condition",16,2,1,67,6
7,"Baseline Condition",16,8,8,38,3
7,"Baseline Condition",16,4,4,50,7
7,"Baseline Condition",16,6,3,41,4
7,"Baseline Condition",16,10,5,47,4
9,"Baseline Condition",17,2,6,47,6
9,"Baseline Condition",17,10,2,37,4
9,"Baseline Condition",17,0,3,32,6
9,"Baseline Condition",17,0,0,7,6
9,"Baseline Condition",17,5,5,19,7
9,"Baseline Condition",17,7,8,25,6
9,"Baseline Condition",17,3,2,9,6
9,"Baseline Condition",17,6,7,30,6
9,"Baseline Condition",17,1,10,41,6
9,"Baseline Condition",17,4,1,29,6
10,"Memory Condition",10,3,5,50,2
10,"Memory Condition",10,2,7,56,4
10,"Memory Condition",10,4,4,36,3
10,"Memory Condition",10,0,5,36,2
10,"Memory Condition",10,9,0,27,4
10,"Memory Condition",10,3,7,41,4
10,"Memory Condition",10,5,10,49,4
10,"Memory Condition",10,0,2,32,3
10,"Memory Condition",10,1,4,40,4
10,"Memory Condition",10,7,4,30,2
13,"Baseline Condition",5,2,2,45,4
13,"Baseline Condition",5,3,6,37,0
13,"Baseline Condition",5,10,3,38,0
13,"Baseline Condition",5,3,3,51,2
13,"Baseline Condition",5,8,6,21,0
13,"Baseline Condition",5,1,2,48,1
13,"Baseline Condition",5,1,10,48,1
13,"Baseline Condition",5,10,0,40,1
13,"Baseline Condition",5,3,8,30,0
13,"Baseline Condition",5,1,7,42,1
14,"Memory Condition",10,4,0,54,7
14,"Memory Condition",10,5,6,25,2
14,"Memory Condition",10,3,0,54,7
14,"Memory Condition",10,3,1,51,5
14,"Memory Condition",10,6,0,32,2
14,"Memory Condition",10,10,10,40,4
14,"Memory Condition",10,2,3,34,4
14,"Memory Condition",10,3,4,30,3
14,"Memory Condition",10,7,9,42,2
14,"Memory Condition",10,6,3,28,3
15,"Baseline Condition",10,9,8,30,6
