"UID","participant","input_model","fitted_model","nLL","lambda","beta","tau","recency","surprise_plus","full_r","full_s","asymmetry","id","age_bin","education"
"1",1,"Memory","recency",106.165004120303,0.374123110609013,-1.62960671615782,-3.66078745938662,236.908718956668,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","recency",114.129434400103,0.227979050823566,-1.30742801077283,-3.69445708365269,230.551091873433,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","recency",58.2551593124483,0.512302744741584,-1.89349349591305,-3.47335815283767,224.970299052115,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","recency",69.5470272197388,0.196830113307707,-1.41472402150955,-3.52184451217004,239.897978133738,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","recency",65.8000946265754,0.480485001315447,-1.873240243299,-3.40491567276938,226.490881577614,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","recency",81.0548493432078,0.399347256234364,-1.79663904467781,-3.38843992253139,222.924313284132,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"Memory","recency",77.3137802491419,0.278960845823935,-1.43253574694251,-3.61548322977515,244.858421858189,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",62.5502500878658,-0.307303370609502,-0.969905604573917,-3.61671815757456,NA,-462.906754035505,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",54.1388084604468,-0.275421008262836,-1.06873924069974,-3.61125889922137,NA,-297.898792600748,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",72.27875938212,-0.37636638295414,-0.997048840021664,-3.7726288198283,NA,-664.293536078406,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
"1",1,"NoMemory","surprise+",83.4661524536058,-0.321270420689774,-0.987804913035169,-3.6659511643079,NA,-609.547562283783,NA,NA,-6.05812075522643,1,"48-57","Undergraduate degree (BA/BSc/other)"
