"UID","participant","input_model","fitted_model","nLL","lambda","beta","tau","recency","surprise_plus","full_r","full_s","asymmetry","id","age_bin","education"
1,1,"Memory","recency",106.165004120303,0.374123110609013,-1.62960671615782,-3.66078745938662,236.908718956668,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","recency",114.129434400103,0.227979050823566,-1.30742801077283,-3.69445708365269,230.551091873433,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","recency",58.2551593124483,0.512302744741584,-1.89349349591305,-3.47335815283767,224.970299052115,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","recency",69.5470272197388,0.196830113307707,-1.41472402150955,-3.52184451217004,239.897978133738,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","recency",65.8000946265754,0.480485001315447,-1.873240243299,-3.40491567276938,226.490881577614,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","recency",81.0548493432078,0.399347256234364,-1.79663904467781,-3.38843992253139,222.924313284132,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","recency",77.3137802491419,0.278960845823935,-1.43253574694251,-3.61548322977515,244.858421858189,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","null",94.2567809124441,-0.164805634291376,-1.16335441278254,-3.40053926291478,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","null",120.812517756177,-0.114026888442287,-1.22745028562164,-3.41484455660748,NA,NA,NA,NA,NA,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","surprise+",94.6669583072361,-0.120197021567392,-1.21533224764458,-3.33715544232684,NA,-343.253457411352,NA,NA,-0.285427010056549,1,"48-57","Undergraduate degree (BA/BSc/other)"
1,1,"Memory","surprise+",124.897001939065,-0.1544497062964,-1.1937368459808,-3.51008668806722,NA,13.1678459441793,NA,NA,-0.285427010056549,1,"48-57","Undergraduate degree (BA/BSc/other)"
