"input_model","fitted_model","participant","nLL","lambda","beta","tau","recency","surprise_plus","asymmetry"
"recency","recency",1,120.258768085574,0.787840666753161,-11.7445142294774,-0.460717036938035,10.6808043456453,NA,NA
"recency","recency",1,119.477995987859,5.6123350872914,10.8444464356499,2.24369580860804,-365.423293433256,NA,NA
"recency","recency",1,120.203735666178,-0.623420670372479,-45.6262513127631,-1.43645944322645,108.833160558085,NA,NA
"recency","recency",1,119.282084095011,0.835882362161685,-35.5102906990903,-0.145437586483217,9.78790387687338,NA,NA
"recency","recency",1,120.06831897161,0.883787133660605,-23.1426625629867,-0.207928819552187,9.35604257107181,NA,NA
"recency","recency",1,119.895797526789,-0.725099766660415,-44.0474387336062,-1.34203350854004,154.742196802754,NA,NA
"recency","recency",1,120.687120021595,-0.76182820992591,-38.1380754750183,-1.45472011239827,69.1085535696757,NA,NA
"recency","recency",2,119.231332666615,4.09434284943689,9.19477317039909,3.46402258425951,-47.7130987511791,NA,NA
"recency","recency",2,118.527546787753,3.03605423993213,8.27894860666074,3.21555002971735,-784.36321095755,NA,NA
"recency","recency",2,120.303586531816,-4.6052238863199,-2.10867408261485,-2.30717527343944,815.255420280557,NA,NA
"recency","recency",2,119.931980724251,-3.74930506437071,-2.09528392047227,-2.25771976226397,928.199619737317,NA,NA
"recency","recency",2,120.60358183552,-5.29265205800788,-2.26806880719159,-2.2662494317227,783.219150148456,NA,NA
"recency","recency",2,121.026427495379,2.8942874298658,7.39883456113564,3.17143519079293,-585.617378820922,NA,NA
"recency","recency",2,118.710680414529,2.42748488712316,7.55458746329373,3.3296451394583,-755.461193968569,NA,NA
"recency","recency",3,120.07827072739,0.418245717993764,-7.81745452276672,-0.58731803582637,-847.395793170193,NA,NA
"recency","recency",3,120.071213818907,0.364852060685595,-14.1237898378749,-0.701860093254696,-3.86328146663361,NA,NA
"recency","recency",3,119.690152055433,0.373304653495578,-10.5893933461383,-0.55401067813758,-3.47821594598351,NA,NA
"recency","recency",3,121.73581828644,1.08995837051451,-0.260510543038368,0.0923772195100733,-965.914219219661,NA,NA
