"participant","age","age_bin","education","sex","subject","scenario","fitted_model","summed_nLL","rounds"
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"Memory","full",606.763109506916,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"Memory","GP",612.299587149686,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"Memory","recency",584.959394258566,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"Memory","surprise+",646.75039345389,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"Memory","surprise+_static",1900.15155108388,21
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"NoMemory","full",544.134260535233,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"NoMemory","GP",538.837175648115,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"NoMemory","recency",510.214548845755,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"NoMemory","surprise+",543.29976444196,7
1,51,"48-57","Undergraduate degree (BA/BSc/other)","Male",1,"NoMemory","surprise+_static",1692.47000315635,21
2,35,"28-37","Technical/community college","Female",2,"Memory","full",343.248591808177,7
2,35,"28-37","Technical/community college","Female",2,"Memory","GP",336.664181105204,7
2,35,"28-37","Technical/community college","Female",2,"Memory","recency",346.44592564144,7
2,35,"28-37","Technical/community college","Female",2,"Memory","surprise+",336.429689428687,7
2,35,"28-37","Technical/community college","Female",2,"Memory","surprise+_static",1012.62698647154,21
2,35,"28-37","Technical/community college","Female",2,"NoMemory","full",567.877818867979,7
2,35,"28-37","Technical/community college","Female",2,"NoMemory","GP",655.125760071134,7
2,35,"28-37","Technical/community college","Female",2,"NoMemory","recency",598.398996671503,7
2,35,"28-37","Technical/community college","Female",2,"NoMemory","surprise+",582.756092402611,7
2,35,"28-37","Technical/community college","Female",2,"NoMemory","surprise+_static",1797.76639687575,21
3,47,"38-47","High school diploma/A-levels","Female",3,"Memory","full",555.654486936324,7
3,47,"38-47","High school diploma/A-levels","Female",3,"Memory","GP",548.249665599316,7
3,47,"38-47","High school diploma/A-levels","Female",3,"Memory","recency",508.962660591724,7
3,47,"38-47","High school diploma/A-levels","Female",3,"Memory","surprise+",567.642754356688,7
3,47,"38-47","High school diploma/A-levels","Female",3,"Memory","surprise+_static",1535.76709250485,21
3,47,"38-47","High school diploma/A-levels","Female",3,"NoMemory","full",636.85321291968,7
3,47,"38-47","High school diploma/A-levels","Female",3,"NoMemory","GP",633.352225775977,7
3,47,"38-47","High school diploma/A-levels","Female",3,"NoMemory","recency",626.537154893303,7
3,47,"38-47","High school diploma/A-levels","Female",3,"NoMemory","surprise+",617.322017581921,7
3,47,"38-47","High school diploma/A-levels","Female",3,"NoMemory","surprise+_static",1857.76315433381,21
4,22,"18-27","High school diploma/A-levels","Female",4,"Memory","full",595.95785092013,7
4,22,"18-27","High school diploma/A-levels","Female",4,"Memory","GP",572.590021192833,7
4,22,"18-27","High school diploma/A-levels","Female",4,"Memory","recency",572.915685876272,7
4,22,"18-27","High school diploma/A-levels","Female",4,"Memory","surprise+",578.003246912088,7
4,22,"18-27","High school diploma/A-levels","Female",4,"Memory","surprise+_static",1786.60776303635,21
4,22,"18-27","High school diploma/A-levels","Female",4,"NoMemory","full",539.000832004992,7
4,22,"18-27","High school diploma/A-levels","Female",4,"NoMemory","GP",535.715887604309,7
4,22,"18-27","High school diploma/A-levels","Female",4,"NoMemory","recency",533.465635604594,7
4,22,"18-27","High school diploma/A-levels","Female",4,"NoMemory","surprise+",531.584770758545,7
4,22,"18-27","High school diploma/A-levels","Female",4,"NoMemory","surprise+_static",1621.44782946872,21
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"Memory","full",644.879727630658,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"Memory","GP",640.274164705885,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"Memory","recency",619.54201349355,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"Memory","surprise+",649.696324410006,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"Memory","surprise+_static",1926.60925410445,21
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"NoMemory","full",507.585253081443,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"NoMemory","GP",550.476167605416,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"NoMemory","recency",526.250523135199,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"NoMemory","surprise+",524.920721940181,7
5,66,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",5,"NoMemory","surprise+_static",1609.74128543079,21
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"Memory","full",550.140437943501,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"Memory","GP",624.946265473048,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"Memory","recency",589.604244535561,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"Memory","surprise+",619.331219250722,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"Memory","surprise+_static",1785.26739716309,21
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"NoMemory","full",545.910542636907,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"NoMemory","GP",727.895145503389,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"NoMemory","recency",556.419638546033,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"NoMemory","surprise+",730.814204697325,7
6,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",6,"NoMemory","surprise+_static",1902.02627822362,21
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"Memory","full",606.131633589959,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"Memory","GP",682.84861673809,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"Memory","recency",621.889235881597,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"Memory","surprise+",664.25591524808,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"Memory","surprise+_static",1883.67353461672,21
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"NoMemory","full",572.64379788082,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"NoMemory","GP",613.948566948029,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"NoMemory","recency",635.064798656285,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"NoMemory","surprise+",639.994361005871,7
7,63,"58-67","Secondary education (e.g. GED/GCSE)","Female",7,"NoMemory","surprise+_static",1871.50385046786,21
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"Memory","full",370.581743033276,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"Memory","GP",373.121565425922,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"Memory","recency",385.718928256931,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"Memory","surprise+",378.426346033606,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"Memory","surprise+_static",1105.69620717456,21
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"NoMemory","full",393.125073176025,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"NoMemory","GP",398.132855489255,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"NoMemory","recency",381.00466244547,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"NoMemory","surprise+",387.569516854603,7
8,29,"28-37","Undergraduate degree (BA/BSc/other)","Female",8,"NoMemory","surprise+_static",1200.80686606729,21
9,48,"48-57","High school diploma/A-levels","Female",9,"Memory","full",317.514895399132,7
9,48,"48-57","High school diploma/A-levels","Female",9,"Memory","GP",430.190888682002,7
9,48,"48-57","High school diploma/A-levels","Female",9,"Memory","recency",325.851848795097,7
9,48,"48-57","High school diploma/A-levels","Female",9,"Memory","surprise+",412.843432632943,7
9,48,"48-57","High school diploma/A-levels","Female",9,"Memory","surprise+_static",1161.29438376478,21
9,48,"48-57","High school diploma/A-levels","Female",9,"NoMemory","full",376.741929169909,7
9,48,"48-57","High school diploma/A-levels","Female",9,"NoMemory","GP",349.253504598371,7
9,48,"48-57","High school diploma/A-levels","Female",9,"NoMemory","recency",346.161377335621,7
9,48,"48-57","High school diploma/A-levels","Female",9,"NoMemory","surprise+",394.143477873701,7
9,48,"48-57","High school diploma/A-levels","Female",9,"NoMemory","surprise+_static",1121.30420751451,21
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"Memory","full",448.327795493616,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"Memory","GP",581.673890475244,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"Memory","recency",414.335814416279,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"Memory","surprise+",592.407973810381,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"Memory","surprise+_static",1619.94276465916,21
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"NoMemory","full",508.20753122452,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"NoMemory","GP",616.801638166544,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"NoMemory","recency",523.539553427226,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"NoMemory","surprise+",627.693706698873,7
10,50,"48-57","Secondary education (e.g. GED/GCSE)","Male",10,"NoMemory","surprise+_static",1731.77140005297,21
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"Memory","full",523.247182590126,7
